Field,Type,Sub Type,Structured Format,Values,Depends
Accept,Common,,"<media-type>/<mime-subtype>; q=<q-factor-weight>, ...",,
Accept-CH,Response,,"<client-hint>, ...",,
Accept-Encoding,Common,,"<directive>[; q=<q-factor-weight>],",,
Accept-Language,Request,,"<langage>; q=<q-factor-weight>, ...",,
Accept-Patch,Response,,"<media-type>/<subtype>, ...",,
Accept-Post,Response,,"<media-type>/<subtype>, ...",,
Accept-Range,Response,,"<range-unit>",,
Access-Control-Allow-Credentials,CORS,Response,"true",,
Access-Control-Allow-Headers,CORS,Response,"<header-name>, ...",,
Access-Control-Allow-Methods,CORS,Response,"<method>, ...",,
Access-Control-Allow-Origin,CORS,Response,"(*,<origin>,null)",,
Access-Control-Expose-Headers,CORS,Response,"[<header-name>[, <header-name>]*]",,
Access-Control-Max-Age,CORS,Response,"<delta-seconds>",,
Access-Control-Request-Headers,CORS,Request,"<header-name>, ...",,
Access-Control-Request-Method,CORS,Request,"<delta-seconds>",,
Age,Response,,"<delta-seconds>",,
Allow,Response,,"<method>, ...",,
Alt-Svc,Response,,"clear|<ALPN-protocol-id>=<alt-authority>; ma=<max-age>; persist=1,",,
Alt-Used,Request,,"<host>:<port>",,
Attribution-Reporting-Eligible,AR,Request,"<string>",,
Attribution-Reporting-Register-Source,AR,Response,"<json-string>",,
Attribution-Reporting-Trigger,AR,Response,"<json-string>",,
Authorization,Request,,"(<scheme> <authorization>)|(Basic <Credentials)|Digest [<key>=<value>[,<key>=<value>]]",,
Cache-Control,Common,,"[(<value>|<key>=<value>)[,(<value>|<key>=<value>)]]",,
Clear-Site-Data,Response,,"<string>,...","cache, clientHints, cookies, storage, executionContexts, *",
Connection,Common,,"<string>","keep-alive, close",
Content-Digest,Content,Common,"[<digest-algorithm>=<digest-value>[,<digest-algorithm>=<digest-value>]]",,
Content-Disposision,Content,Common,"<value>[; <key>=<value>]","value=(inline|attachment|form-data), key=(name|filename)",
Content-DPR,Content,Response,"<number>",,
Content-Encoding,Content,Common,"[<value>[,<value>]]","gzin,compress,deflate,br,zstd",
Content-Language,Content,Common,"[<lang>[,<lang>]]",,
Content-Length,Content,Common,"<number>",,
Content-Location,Content,Common,"<url>",,
Content-Range,Content,Response,"<unit> (<range-start>-<range-end>|*)/(<size>|*)","unit=bytes",
Content-Security-Policy,Content,,"[<policy-directive>[;<policy-directive>]]",,
Content-Security-Policy-Report-Only,Content,,"[<policy-directive>[;<policy-directive>]]",,
Content-Type,Content,,"<type>/<subtype>[; <key>=<value>]","key=(charset|boundary)",
Cookie,Request,,"<key>=<value>[;<key>=<value>]",,
Critical-CH,Response,,"<ch>[;<ch>]",,
Cross-Origin-Embedder-Policy,Response,,"<value>","value=(unsafe-none|require-corp|credentialless)",
Cross-Origin-Opener-Policy,Response,,"<value>","value=(unsafe-none|same-origin-allow-popups|same-origin|noopener-allow-popups)",
Cross-Origin-Resource-Policy,Response,,"<value>","value=(unsafe-site|same-origin|cross-origin)",
Date,Common,,"<day-name>, <day> <month> <year> <hour>:<minute>:<second> GMT",,
Device-Memory,Request,,"<number>","number=(0.25|0.5|1|2|4|8)",
DNT,Request,,"<value>","value=(0|1|null)",
Downlink,Request,,"<number>",,
DPR,Request,,"<number>",,
Early-Data,Request,,"<number>","number=1",
ECT,Request,,"<value>","value=(slow-2g|2g|3g|4g)",
ETag,Content,Response,"[W/]<etag_value>",,
Expect,Request,,"<status>-<message>","status=100, message=continue",
Expect-CT,Response,,"[(<key>|<key>=<value>)[,(<key>|<key>=<value>)]]","key=(max-age|report-uri|enforce)",
Expires,Response,,"<day-name>, <day> <month> <year> <hour>:<minute>:<second> GMT",,
Forwarded,Request,,"by=<identifier>;for=<identifier>;host=<host>;proto=(http|https)",,
From,Request,,"<email>",,
Host,Request,,"<host>:<port>",,
If-Match,Request,,"[<etag_value>[,<etag_value>]]","*",
If-Modified-Since,Request,,"<day-name>, <day> <month> <year> <hour>:<minute>:<second> GMT",,
If-Not-Match,Request,,"[<etag_value>[,<etag_value>]]","*",
If-Range,Request,,"(<etag>|<day-name>, <day> <month> <year> <hour>:<minute>:<second> GMT)",,
If-Unmodified-Since,Request,,"<day-name>, <day> <month> <year> <hour>:<minute>:<second> GMT",,
Keep-Alive,Common,,"[<key>=<value>[,<key>=<value>]]","key=(timeout|max)",
Last-Modified,Content,Response,"<day-name>, <day> <month> <year> <hour>:<minute>:<second> GMT",,
Link,Common,,"<uri-reference>[;<param>=<value>[;<param>=<value>]]",,
Location,Response,,"<url>",,
Max-Forwards,Request,,"<integer>",,
NEL,Response,,"<string>",,
No-Vary-Search,Response,,"[(<key>|<key>=(<value>|(<values>)))[,(<key>|<key>=(<value>|(<values>)))]]","key=(key-order|params|except)",
Observe-Browsing-Topics,Response,,"?1",,
Origin,Request,,"(<null>|<scheme>://<host>[:<port>])",,
Origin-Agent-Cluster,Response,,"<boolean>",,
Permission-Policy,Response,,"<directive>=<allowlist>","allowlist=(*,'',self,src,<origin>)",
Pragma,Common,,"no-cache",,
Priority,Common,,"[<directive>[=<priority>][,<directive>[=<priority>]]]","directive=(u|i)",
Proxy-Authenticate,Response,,"<scheme> (<token>|[<param>=<value>[,<param>=<value>]])",,
Proxy-Authorization,Request,,"<scheme> <credentials>",,
Range,Request,,"<unit>=([<range-start>-<range-end>[,<range-start>-<range-end>]]|-<suffix-length>)","unit=bytes",
Referer,Request,,"<url>",,
Referer-Policy,Response,,"<directive>","directive=(no-referrer|no-referrer-when-downgrade|origin|origin-when-cross-origin|same-origin|strict-origin|strict-origin-when-cross-origin|unsafe-url)",
Refresh,Response,,"<time>[(,|;)url=<url>]",,
Report-To,Response,,"<json-string>","{'group':'','max_age':0,'endpoint':[{'url':''}]}",
Reporting-Endpoint,Response,,"[<name>=<url>[,<name>=<url>]]",,
Repr-Digest,Content,,"[<algo>=<value>[,<algo>=<value>]]","",
Retry-After,Response,,"(<day-name>, <day> <month> <year> <hour>:<minute>:<second> GMT|delay-seconds)",,
RTT,Request,,"<number>",,Accept-CH
Save-Data,Request,,"<sd-token>","sd-token=(on|off), default=off",
Sec-Browsing-Topics,Request,,"","",
Sec-CH-Prefers-Color-Scheme,Request,,"<preference>","",
Sec-CH-Prefers-Reduced-Motion,Request,,"<preference>","preferences=(reduce|no-preference)",
Sec-CH-Prefers-Reduced-Transparency,Request,,"<preference>","preferences=(reduce|no-preference)",
Sec-CH-UA,Request,,"[<brand>;v=<version>[,<brand>;v=<version>]]",,
Sec-CH-UA-Arch,Request,,"[<arch>[,<arch>]]",,
Sec-CH-UA-Bitness,Request,,"<bitness>","bitness=(32|64)",
Sec-CH-UA-Full-Version,Request,,"<version>",,
Sec-CH-UA-Mobile,Request,,"<boolean>",,
Sec-CH-UA-Model,Request,,"<device-version>",,
Sec-CH-UA-Platform,Request,,"<platform>",,
Sec-CH-UA-Platform-Version,Request,,"<version>",,
Sec-Fetch-Dest,Request,,"<dest>","",
Sec-Fetch-Mode,Request,,"<mode>","",
Sec-Fetch-Site,Request,,"<origin>","cross-site,same-origin,same-site,none",
Sec-Fetch-User,Request,,"<directive>","?1",
Sec-GPC,Request,,"<preference>","",
Sec-Purpose,Request,,"<token>","tokens=(prefetch)",
Sec-WebSocket-Accept,WebSocket,Response,"<hashed-key>","",
Sec-WebSocket-Extensions,WebSocket,Common,"[<extension>[;<extension>]]","",
Sec-WebSocket-Key,WebSocket,Request,"<key>","",
Sec-WebSocket-Protocol,WebSocket,Common,"[<sub-protocol>[,<sub-protocol>]]","",
Sec-WebSocket-Version,WebSocket,Response,"<version>","13",
Server,Response,,"<product>","",
Server-Timing,Response,,"<timing-metric>","name,dur,desc",
Service-Worker,Request,,"<script>","",
Service-Worker-Allowed,Response,,"<scope>","",
Service-Worker-Navigation-Prelaod,Request,,"<value>","",
Set-Cookie,Response,,"<key>=<value>[;<param>=<param-value>[;<param>=<param-value>]]","",
Set-Login,Response,,"<status>","",
SourceMap,Response,,"<url>","",
Speculation-Rules,Response,,"[<url>[,<url>]]","",
Strict-Transport-Security,Response,,"<param>=<value>[;<param>=<value>]","",
Supports-Loading-Mode,Response,,"<client-hint-header>[,<client-hint-header]","",
TE,Request,,"<te>; q=<q-factor-weight>, ...","te=(compress|deflate|gzip|trainlers)",
Timing-Allow-Origin,Response,,"<url>[,<url>]","url=(*|url)",
Tk,Response,,"<track>","url=(!|?|G|N|T|C|P|D|U)",
Trailer,Content,Common,"<header-name>","",
Transfer-Encoding,Content,Common,"<directive>[,<directive>]","directives=(chunked|compress|deflate|gzip)",
Upgrade,Common,,"<protocol>[/<protocol-version>][,<protocol>[/<protocol-version>]]","","Connection=upgrade"
Upgrade-Insecure-Requests,Request,,"<boolean>","",
User-Agent,Request,,"<product>/<product-version>[ <comment>]","",
Vary,Response,,"<header-name>[,<header-name>]","",
Via,Common,,"[<protocol-name>/]<protocol-version> (<host>[:<port>]|<pseudonym>)"
Viewport-Width,Request,,"<number>","",
Want-Content-Digest,Content,,"<algo>=<preference>[,<algo>=<preference>]","",
Want-Repr-Digest,Content,,"<algo>=<preference>[,<algo>=<preference>]","",
Warning,Common,,"<code> <agent> <text>[ <date>]","",
Width,Request,,"<number>","",
WWW-Authenticate,Response,,"<scheme> (<token>|[<param>=<value>[,<param>=<value>]])",,
X-Content-Type-Options,Response,,"<directive>","directive=nosniff",
X-DNS-Prefetch-Control,Response,,"<boolean>","boolean=(on|off)",
X-Forwarded-For,Request,,"<client>[, <proxy>[,<proxy>]]","",
X-Forwarded-Host,Request,,"<host>","",
X-Forwarded-Proto,Request,,"<protocol>","protocol=(http|https)",
X-Frame-Options,Response,,"<diretive>","directives=(DENY|SAMEORIGIN|ALLOW-FROM <origin>)",
X-Permitted-Cross-Domain-Policies,Response,,"<policy>","<policy>",
X-Powered-By,Response,,"<application>","",
X-Robots-Tag,Response,,"<indexing-rule>[,<indexing-rule>]","",
X-XSS-Protection,Response,,"<boolean>[; <param>=<value>]","",